Origin;Destination;Pouch No;Date;Sender's Name;Sender Phone;Sender Address;Sender City;Sender State;Sender Pincode;Sender GSTIN;Total Pieces;Actual Wt;Volumetric Wt;Chargeable Wt;Paperwork;Sender Signature;Sender Date;Recipient Name;Recipient Phone;Recipient Address;Recipient City;Receiver State;Receiver Pincode;Description;Value Added Services;Consignment No;Expiry Date;Booking Code;Recipient GSTIN;Receiver Name;Relationship;Company Stamp;Receiver Signature;Receive Date;Tariff;VAS Charges;Total Amount;Mode;Risk Surcharge;Mode of Payment;Nature of Consignment
Nagpur;Jamshedpur;55e275ad-8da9-49c9-986c-93134fef2c19;45833;Megha Majumdar;6137840452;H.No. 425 Varughese Chowk, Above Shop, Nagpur, Maharashtra - 264582;Nagpur;Maharashtra;264582;;5;16438;46266;46266;No;;45833;Benjamin Kalla;1404091893;H.No. 84, Palan Chowk, Above Shop, Jamshedpur, Jharkhand - 950721;Jamshedpur;Jharkhand;950721;Quam beatae aperiam odio.;COD;DTDC25102909;45863;BR609;;Benjamin Kalla;Family;;;45838;147.22;;217.31;Express;Carrier;Cash;Dox
Jaipur;Vizag;7fab4175-11b2-4090-a0ed-4571ccd68878;45835;Nanda-Saraf;52907142;48/880, Tripathi, Above Shop, Jaipur, Rajasthan - 200155;Jaipur;Rajasthan;200155;UU73146GFVQTZ4;5;34455;46362;46362;No;Yes;45835;Qushi Goyal;5538585979;H.No. 376, Pandit, Near Park, Vizag, Andhra Pradesh - 150138;Vizag;Andhra Pradesh;150138;Quas ipsam.;COD;DTDC49645557;45865;BR683;;Qushi Goyal;Self;;;45836;256.83;82.2;339.03;Surface;Carrier;Card;Dox
Lucknow;Bhubaneswar;5231428d-b524-433e-8043-45c7e39a94aa;45835;Contractor LLC;5081512738;257, Kulkarni Path, Above Shop, Lucknow, Uttar Pradesh - 353311;Lucknow;Uttar Pradesh;353311;;3;16984;26177;26177;Yes;Yes;45835;Siddharth Gera;2173257324;H.No. 40 Jaggi, Opposite Mall, Bhubaneswar, Odisha - 930670;Bhubaneswar;Odisha;930670;Assumenda totam quaerat quod magnam.;Express;DTDC06690709;45865;BR984;;Siddharth Gera;Friend;;;45836;432.45;107.63;540.08;Surface;Carrier;Cash;Non-Dox
Coimbatore;Mumbai;2f556b38-298d-4e8c-9310-4e6a3a5fbe61;45819;Krishna Hans;1518559754;83/17 Sridhar Zila, Above Shop, Coimbatore, Tamil Nadu - 553663;Coimbatore;Tamil Nadu;553663;;4;29891;14.44;14.44;Yes;;45819;Manbir Chakraborty;786556887;524, Dhar, Near Park, Mumbai, Maharashtra - 479840;Mumbai;Maharashtra;479840;Rerum voluptatibus.;COD;DTDC50559265;45849;BR413;;Manbir Chakraborty;Friend;;;45823;1162.0;25.23;1187.23;Express;Carrier;Card;Non-Dox
Meerut;Vijayawada;c3154041-34eb-435e-94d8-0900e6a9ed01;45839;Kuruvilla-Tiwari;1666398391;16/64 Jayaraman Circle, Above Shop, Meerut, Uttar Pradesh - 273143;Meerut;Uttar Pradesh;273143;;3;35551;26451;26451;No;Yes;45839;Sachi Bora;6906703769;H.No. 824, Sanghvi Road, Opposite Mall, Vijayawada, Andhra Pradesh - 670910;Vijayawada;Andhra Pradesh;670910;Alias quos tempora.;COD;DTDC98609208;45869;BR742;;Sachi Bora;Friend;;;45843;285.55;67.7;353.25;Surface;Carrier;Cash;Dox
Delhi;Nagpur;887583cd-0eb0-41a5-8d10-6959a7bbd2e7;45824;Palan, Varkey and De;6746435747;H.No. 380 Agrawal Nagar, Opposite Mall, Delhi, Delhi - 463926;Delhi;Delhi;463926;YE29586QCKBVZ8;4;46120;45536;45536;Yes;Yes;45824;Suresh, Pingle and Ratta;3314274204;658 Shah Zila, Above Shop, Nagpur, Maharashtra - 813113;Nagpur;Maharashtra;813113;Alias magnam dolorem.;Insurance;DTDC14539916;45854;BR769;OR00828DZKTJZ1;Suresh, Pingle and Ratta;Family;Yes;Yes;45827;437.27;141.88;579.15;Surface;Carrier;Cash;Non-Dox
Ahmedabad;Bhubaneswar;9e2ba438-a832-42c4-96c3-267c5661ff1b;45815;Quincy Rajagopal;7041009065;71/450 Contractor, Near Park, Ahmedabad, Gujarat - 773172;Ahmedabad;Gujarat;773172;;5;42826;21337;21337;No;;45815;Boase Group;4896858315;62/907, Bose Ganj, Opposite Mall, Bhubaneswar, Odisha - 562543;Bhubaneswar;Odisha;562543;Laboriosam accusantium inventore.;COD;DTDC91756766;45845;BR051;;Boase Group;Family;Yes;Yes;45818;389.63;102.04;491.67;Air Cargo;Carrier;Cash;Dox
Chennai;Vijayawada;1fc52687-0535-4167-91f0-fd990ceaf66f;45831;Ganga Gola;7715172538;H.No. 03, Chandra Road, Behind School, Chennai, Tamil Nadu - 981555;Chennai;Tamil Nadu;981555;;4;30864;13728;13728;No;;45831;Lipika Kaul;2612146770;H.No. 420 Menon Ganj, Above Shop, Vijayawada, Andhra Pradesh - 671788;Vijayawada;Andhra Pradesh;671788;Sequi blanditiis voluptatem totam perspiciatis.;;DTDC13022086;45861;BR294;;Lipika Kaul;Family;;;45836;736.12;0.0;736.12;Express;Carrier;Card;Non-Dox
Delhi;Jamshedpur;c4a40da3-fa02-4a3f-a5bc-3ea424467d28;45838;Keya Patil;3731214759;H.No. 87 Nayar Circle, Behind School, Delhi, Delhi - 495413;Delhi;Delhi;495413;;3;17685;13332;13332;Yes;;45838;Master-Golla;9414795753;38/66 Halder Circle, Near Park, Jamshedpur, Jharkhand - 334544;Jamshedpur;Jharkhand;334544;Neque quae nisi eum excepturi.;COD;DTDC91981448;45868;BR562;NI99274KDEFJZ9;Master-Golla;Family;Yes;Yes;45842;352.19;20.68;372.87;Surface;Carrier;Cash;Non-Dox
Dehradun;Nashik;a700483c-9122-4688-ba5d-2029b7939d06;45834;Lall LLC;1616978729;41/386 Kadakia Marg, Opposite Mall, Dehradun, Uttarakhand - 394254;Dehradun;Uttarakhand;394254;;4;46181;30225;30225;Yes;Yes;45834;Dayamai Naik;8477219809;60/499, Karpe Chowk, Near Park, Nashik, Maharashtra - 316896;Nashik;Maharashtra;316896;Rem est ipsam quidem.;;DTDC34489695;45864;BR345;;Dayamai Naik;Self;;;45835;963.2;0.0;963.2;Express;Carrier;Card;Non-Dox
